date,co,no,no2,o3,so2,pm2_5,pm10,nh3
2/17/2021,3685.0 µmole,14.5 µmole,69.9 µmole,0.3 µmole,39.1 µmole,534.1 µmole,604.7 µmole,12.3 µmole
2/17/2021,4592.9 µmole,43.4 µmole,65.1 µmole,0.0 µmole,52.9 µmole,601.4 µmole,686.9 µmole,20.8 µmole
2/17/2021,6729.1 µmole,112.7 µmole,65.8 µmole,0.0 µmole,72.5 µmole,739.2 µmole,856.2 µmole,30.4 µmole
2/17/2021,8010.9 µmole,169.9 µmole,70.6 µmole,0.7 µmole,82.0 µmole,798.3 µmole,930.7 µmole,30.9 µmole
2/17/2021,5767.8 µmole,91.2 µmole,91.9 µmole,8.7 µmole,87.7 µmole,618.2 µmole,711.8 µmole,29.9 µmole
2/17/2021,6088.3 µmole,68.8 µmole,124.8 µmole,30.4 µmole,98.2 µmole,649.1 µmole,757.1 µmole,40.0 µmole
2/17/2021,6088.3 µmole,34.4 µmole,154.9 µmole,97.3 µmole,110.6 µmole,693.8 µmole,811.8 µmole,42.1 µmole
2/17/2021,1922.6 µmole,7.2 µmole,59.0 µmole,188.8 µmole,104.9 µmole,293.3 µmole,329.8 µmole,15.3 µmole
2/17/2021,1455.3 µmole,3.9 µmole,38.7 µmole,220.3 µmole,78.2 µmole,250.9 µmole,278.4 µmole,12.8 µmole
2/17/2021,1388.6 µmole,2.7 µmole,34.3 µmole,243.2 µmole,71.5 µmole,250.4 µmole,275.9 µmole,13.2 µmole
2/17/2021,1709.0 µmole,3.5 µmole,51.4 µmole,223.2 µmole,79.2 µmole,271.3 µmole,301.8 µmole,18.0 µmole
2/17/2021,2376.6 µmole,4.5 µmole,87.1 µmole,167.4 µmole,91.6 µmole,312.8 µmole,354.5 µmole,24.6 µmole
2/17/2021,2990.7 µmole,3.2 µmole,126.1 µmole,98.7 µmole,96.3 µmole,336.8 µmole,387.8 µmole,29.9 µmole
2/17/2021,4058.8 µmole,4.2 µmole,167.3 µmole,20.4 µmole,96.3 µmole,387.7 µmole,458.1 µmole,40.5 µmole
2/17/2021,5287.2 µmole,31.3 µmole,149.4 µmole,0.0 µmole,90.6 µmole,463.4 µmole,561.7 µmole,51.7 µmole
2/17/2021,5661.0 µmole,42.9 µmole,123.4 µmole,0.0 µmole,78.2 µmole,509.6 µmole,623.8 µmole,50.2 µmole
2/17/2021,6462.1 µmole,61.7 µmole,108.3 µmole,0.0 µmole,70.6 µmole,585.4 µmole,722.9 µmole,38.0 µmole
2/17/2021,7690.4 µmole,89.4 µmole,102.8 µmole,0.0 µmole,67.7 µmole,696.0 µmole,863.5 µmole,31.4 µmole
2/17/2021,7690.4 µmole,95.7 µmole,100.1 µmole,0.0 µmole,56.7 µmole,708.3 µmole,879.8 µmole,23.1 µmole
2/17/2021,6729.1 µmole,84.9 µmole,93.2 µmole,0.0 µmole,42.0 µmole,637.8 µmole,789.1 µmole,14.3 µmole
2/17/2021,5928.0 µmole,71.5 µmole,85.0 µmole,0.0 µmole,37.7 µmole,591.0 µmole,722.0 µmole,12.5 µmole
2/17/2021,5394.0 µmole,59.9 µmole,78.1 µmole,0.0 µmole,38.2 µmole,573.4 µmole,686.0 µmole,12.2 µmole
2/17/2021,5020.1 µmole,49.2 µmole,73.3 µmole,0.0 µmole,39.6 µmole,559.0 µmole,657.7 µmole,12.4 µmole
2/17/2021,4806.5 µmole,44.7 µmole,69.2 µmole,0.0 µmole,42.9 µmole,561.4 µmole,653.7 µmole,14.1 µmole
2/18/2021,4966.7 µmole,51.9 µmole,65.1 µmole,0.0 µmole,50.1 µmole,584.0 µmole,676.4 µmole,18.0 µmole
2/18/2021,5928.0 µmole,84.9 µmole,63.8 µmole,0.0 µmole,65.8 µmole,660.4 µmole,763.8 µmole,29.1 µmole
